Control.Total.SD,Chest.Total.SD,Head.Total.SD,PreFeat
0.000187216,0.000179572,0.000169675,SmoothThreshBDEnergyNorm
0.050111795,0.224590192,0.117691763,SmoothThreshBDGlobalEntropy
0.000750453,0.001432066,0.001134807,SmoothThreshBDGlobalMax
5.15E-05,4.88E-05,4.70E-05,SmoothThreshBDGlobalMean
6.38E-05,7.17E-05,7.54E-05,SmoothThreshBDGlobalMedian
0.142076563,0.198650692,0.169709514,SmoothThreshBDGlobalMin
0.003695389,0.009690042,0.007789949,SmoothThreshBDGlobalStd
0.00167318,0.003025085,0.002673468,SmoothThreshBDGlobalUniformity
0.044440111,0.0456658,0.04091026,SmoothThreshBDKurtosis
0.014776259,0.046340663,0.033975477,SmoothThreshBDVariance
0.027830151,0.091712127,0.06261897,ThreshX.333.1AutoCorrelation
0.015843891,0.09005107,0.077941769,ThreshX.333.1ClusterTendendcy
0.016218052,0.392257138,0.449857383,ThreshX.333.1Contrast
0.002331859,0.011635471,0.014865743,ThreshX.333.1Correlation
0.000150609,0.001449195,0.001392379,ThreshX.333.1DifferenceEntropy
0.004059437,0.054908813,0.050606944,ThreshX.333.1Dissimilarity
0.008265001,0.038333162,0.042349796,ThreshX.333.1Energy
4.88E-05,0.000359679,0.000312163,ThreshX.333.1Entropy
0.002930722,0.018896443,0.020414011,ThreshX.333.1Homogeneity
0.005463404,0.030889762,0.033137123,ThreshX.333.1Homogeneity2
0.003548664,0.008495958,0.008413551,ThreshX.333.1InformationMeasureCorr1
0.000109164,0.000311102,0.000364492,ThreshX.333.1InformationMeasureCorr2
1.26E-06,4.68E-06,6.40E-06,ThreshX.333.1InverseDiffMomentNorm
1.64E-05,4.73E-05,5.34E-05,ThreshX.333.1InverseDiffNorm
0.00541598,0.03101445,0.033923888,ThreshX.333.1InverseVariance
0.320233309,0.230956934,0.54871444,ThreshX.333.1MaxProbability
0.007298705,0.019739851,0.016235215,ThreshX.333.1SumAverage
9.00E-05,0.000322307,0.000285435,ThreshX.333.1SumEntropy
0.028074964,0.094265943,0.063988887,ThreshX.333.1SumVariance
0.015843891,0.09005107,0.077941769,ThreshX.333.1Variance
0.004080807,0.013239065,0.013770719,ThreshX.333GrayLevelNonuniformity
0.000183766,0.000200202,0.000188394,ThreshX.333HighGrayLevelRunEmpha
4.31E-06,2.52E-05,2.35E-05,ThreshX.333LongRunEmphasis
0.000198125,0.000243616,0.000235254,ThreshX.333LongRunHighGrayLevelEmpha
2.340444129,13.99126862,12.02290548,ThreshX.333LongRunLowGrayLevelEmpha
1.71876496,12.85659238,12.03694273,ThreshX.333LowGrayLevelRunEmpha
3.84E-06,2.45E-05,2.21E-05,ThreshX.333RunLengthNonuniformity
4.42E-07,2.80E-06,2.50E-06,ThreshX.333RunPercentage
2.43E-07,1.56E-06,1.41E-06,ThreshX.333ShortRunEmphasis
0.000181316,0.00019583,0.000184394,ThreshX.333ShortRunHighGrayLevelEmpha
1.679780103,12.66730123,12.3092431,ThreshX.333ShortRunLowGrayLevelEmpha
0.003824513,0.011866409,0.011454992,ThreshBusyness
0.004474836,0.029655292,0.033156748,ThreshCoarseness
0.026493799,0.549054153,0.46423768,ThreshComplexity
0.010389404,0.092509984,0.094787565,ThreshContrast
0.030508875,0.073719258,0.061683679,ThreshTextureStrength
0.00018403,0.000201996,0.000190437,ThreshEnergyNorm
0.00037561,0.001953448,0.001677704,ThreshGlobalEntropy
0.000971073,0.002529714,0.001892956,ThreshGlobalMax
5.33E-05,5.06E-05,4.95E-05,ThreshGlobalMean
4.37E-05,6.57E-05,7.37E-05,ThreshGlobalMedian
0.34070179,0.354213368,0.330147523,ThreshGlobalMin
0.003563016,0.021110953,0.018817902,ThreshGlobalStd
0.004134518,0.013617937,0.014178255,ThreshGlobalUniformity
0.027315434,0.037079702,0.031896598,ThreshKurtosis
0.014267612,0.129856044,0.131869539,ThreshVariance
0.026694178,0.084499251,0.059502813,ThreshBDX.333.1AutoCorrelation
0.015796357,0.0897354,0.07764208,ThreshBDX.333.1ClusterTendendcy
0.015993722,0.384208091,0.44210289,ThreshBDX.333.1Contrast
0.002341348,0.011492452,0.014701605,ThreshBDX.333.1Correlation
0.000588942,0.006005587,0.005536721,ThreshBDX.333.1DifferenceEntropy
0.004063182,0.05500251,0.050667892,ThreshBDX.333.1Dissimilarity
0.016877684,0.067133281,0.080351064,ThreshBDX.333.1Energy
0.00039465,0.002770976,0.002417257,ThreshBDX.333.1Entropy
0.001364823,0.009502523,0.010270045,ThreshBDX.333.1Homogeneity
0.002968077,0.018979756,0.021232891,ThreshBDX.333.1Homogeneity2
0.011578951,0.065527939,0.072703754,ThreshBDX.333.1InformationMeasureCorr1
0.001385645,0.007079981,0.008086372,ThreshBDX.333.1InformationMeasureCorr2
1.17E-06,4.38E-06,6.06E-06,ThreshBDX.333.1InverseDiffMomentNorm
1.55E-05,4.56E-05,5.21E-05,ThreshBDX.333.1InverseDiffNorm
0.002598109,0.015690816,0.017930086,ThreshBDX.333.1InverseVariance
0.018757358,0.06430419,0.081802591,ThreshBDX.333.1MaxProbability
0.006977967,0.018356521,0.015531528,ThreshBDX.333.1SumAverage
0.000282765,0.001059841,0.000922109,ThreshBDX.333.1SumEntropy
0.030100888,0.103270018,0.069729866,ThreshBDX.333.1SumVariance
0.015796357,0.0897354,0.07764208,ThreshBDX.333.1Variance
0.003197493,0.008307139,0.007982274,ThreshBDX.333GrayLevelNonuniformity
0.000176922,0.000193737,0.000175579,ThreshBDX.333HighGrayLevelRunEmpha
0.000888875,0.007834268,0.00691509,ThreshBDX.333LongRunEmphasis
0.00123054,0.007763369,0.007624453,ThreshBDX.333LongRunHighGrayLevelEmpha
0.289777662,0.973481149,0.596667613,ThreshBDX.333LongRunLowGrayLevelEmpha
0.078153263,0.607955396,0.291634162,ThreshBDX.333LowGrayLevelRunEmpha
0.000786097,0.005841596,0.00509526,ThreshBDX.333RunLengthNonuniformity
0.000109718,0.000846569,0.000763781,ThreshBDX.333RunPercentage
6.13E-05,0.000440277,0.00041058,ThreshBDX.333ShortRunEmphasis
0.000193118,0.000645094,0.000520596,ThreshBDX.333ShortRunHighGrayLevelEmpha
0.061927168,0.575884061,0.270142513,ThreshBDX.333ShortRunLowGrayLevelEmpha
0.0081243,0.02019557,0.01903312,ThreshBDBusyness
0.004424847,0.028877405,0.032503982,ThreshBDCoarseness
0.035247341,0.426740403,0.305350026,ThreshBDComplexity
0.017123094,0.118316874,0.146092674,ThreshBDContrast
0.055470054,0.114961581,0.093399055,ThreshBDTextureStrength
0.000175986,0.000191537,0.000180172,ThreshBDEnergyNorm
0.017173775,0.266423989,0.150566234,ThreshBDGlobalEntropy
0.000959719,0.002493087,0.001842746,ThreshBDGlobalMax
5.09E-05,4.84E-05,4.72E-05,ThreshBDGlobalMean
7.62E-05,9.77E-05,0.000101998,ThreshBDGlobalMedian
0.13041257,0.166756595,0.126382919,ThreshBDGlobalMin
0.003655753,0.021452294,0.018975455,ThreshBDGlobalStd
0.001662484,0.005667188,0.004944573,ThreshBDGlobalUniformity
0.027205919,0.036924427,0.031557884,ThreshBDKurtosis
0.014657246,0.132609699,0.132703693,ThreshBDVariance
